,percentage,n_eval,mean_return
0,0.0,0,7.3819580078125
1,0.0,1,6.4592132568359375
2,0.0,2,7.3819580078125
3,0.0,3,6.4592132568359375
4,0.0,4,7.3819580078125
5,0.1,0,9.293544101715089
6,0.1,1,9.312470626831054
7,0.1,2,9.293544101715089
8,0.1,3,8.332948112487793
9,0.1,4,9.302864742279052
10,0.2,0,9.341001224517822
11,0.2,1,9.341001224517822
12,0.2,2,8.380405235290528
13,0.2,3,9.30314998626709
14,0.2,4,9.341001224517822
15,0.3,0,9.350321865081787
16,0.3,1,8.418256473541259
17,0.3,2,9.312470626831054
18,0.3,3,9.341001224517822
19,0.3,4,9.378852462768554
20,0.4,0,9.38817310333252
21,0.4,1,8.418256473541259
22,0.4,2,9.341001224517822
23,0.4,3,8.418256473541259
24,0.4,4,9.369246578216552
25,0.5,0,9.416703701019287
26,0.5,1,8.456107711791992
27,0.5,2,9.416703701019287
28,0.5,3,9.38817310333252
29,0.5,4,7.533362960815429
30,0.6,0,9.45455493927002
31,0.6,1,9.45455493927002
32,0.6,2,8.550449657440186
33,0.6,3,9.45455493927002
34,0.6,4,9.416703701019287
35,0.7,0,7.646916675567627
36,0.7,1,8.56966142654419
37,0.7,2,7.609065437316895
38,0.7,3,8.44650182723999
39,0.7,4,7.618386077880859
40,0.8,0,8.56966142654419
41,0.8,1,8.578982067108154
42,0.8,2,8.607512664794921
43,0.8,3,7.646916675567627
44,0.8,4,8.493673706054688
45,0.9,0,9.530257415771484
46,0.9,1,8.607512664794921
47,0.9,2,9.530257415771484
48,0.9,3,9.568108654022216
49,0.9,4,8.607512664794921
