,percentage,n_eval,mean_return
0,0.0,0,7.3819580078125
1,0.0,1,7.3819580078125
2,0.0,2,7.3819580078125
3,0.0,3,8.304702758789062
4,0.0,4,8.304702758789062
5,0.1,0,7.3819580078125
6,0.1,1,6.49706449508667
7,0.1,2,7.3819580078125
8,0.1,3,7.3819580078125
9,0.1,4,7.3819580078125
10,0.2,0,8.436329078674316
11,0.2,1,8.342553997039795
12,0.2,2,8.407798480987548
13,0.2,3,8.436517524719239
14,0.2,4,6.524457740783691
15,0.3,0,7.476016521453857
16,0.3,1,7.513393306732178
17,0.3,2,8.47427453994751
18,0.3,3,7.494943046569825
19,0.3,4,7.48571662902832
20,0.4,0,8.531241512298584
21,0.4,1,8.465428352355957
22,0.4,2,6.553557014465332
23,0.4,3,7.504832363128662
24,0.4,4,7.561324882507324
25,0.5,0,7.514153003692627
26,0.5,1,8.53152494430542
27,0.5,2,7.533077716827393
28,0.5,3,7.5520984649658205
29,0.5,4,6.572766971588135
30,0.6,0,6.610618209838867
31,0.6,1,7.5520984649658205
32,0.6,2,7.627706718444824
33,0.6,3,7.571214199066162
34,0.6,4,7.599459552764893
35,0.7,0,8.550449657440186
36,0.7,1,7.609065437316895
37,0.7,2,7.609065437316895
38,0.7,3,8.578982067108154
39,0.7,4,8.541130828857423
40,0.8,0,7.637310791015625
41,0.8,1,8.578982067108154
42,0.8,2,7.646916675567627
43,0.8,3,7.646916675567627
44,0.8,4,7.646916675567627
45,0.9,0,7.675162029266358
46,0.9,1,7.6847679138183596
47,0.9,2,7.6847679138183596
48,0.9,3,8.635758018493652
49,0.9,4,7.6847679138183596
