,percentage,n_eval,returns
0,0.0,0,"[-359.2826843261719, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239]"
1,0.0,1,"[-376.6319274902344, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, 3.6998343467712402, 3.6998343467712402, 3.7383830547332764, 3.7383830547332764, 3.7383830547332764, 3.7383830547332764, 3.7383830547332764, 3.7383830547332764, 3.7383830547332764, 3.7383830547332764, 3.7383830547332764, 3.7383830547332764, 3.7383830547332764, 3.7383830547332764]"
2,0.0,2,"[-0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239]"
3,0.0,3,"[-376.6319274902344, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239]"
4,0.1,0,"[-353.2271423339844, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239]"
5,0.1,1,"[-376.6319274902344, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239]"
6,0.1,2,"[-376.6319274902344, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239]"
7,0.1,3,"[-0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239]"
8,0.2,0,"[-376.6319274902344, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239]"
9,0.2,1,"[-0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, 3.6238901615142822, 3.6238901615142822, 3.6238901615142822, 3.6238901615142822, 3.6238901615142822, 3.6238901615142822, 3.6238901615142822]"
10,0.2,2,"[-0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239]"
11,0.2,3,"[-353.3429870605469, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239]"
12,0.3,0,"[-376.6319274902344, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, 3.7383830547332764, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, 3.7383830547332764, 3.7383830547332764, 3.7383830547332764, 3.7383830547332764, 3.7383830547332764, 3.7383830547332764, 3.7383830547332764, 3.7383830547332764]"
13,0.3,1,"[-145.38775634765625, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239]"
14,0.3,2,"[-189.35780334472656, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239]"
15,0.3,3,"[-0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239]"
16,0.4,0,"[-6.013543605804443, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239]"
17,0.4,1,"[-376.6319274902344, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239]"
18,0.4,2,"[-0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239]"
19,0.4,3,"[-0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239]"
20,0.5,0,"[-0.07384046167135239, -0.07384046167135239, -0.07384046167135239, 3.6998343467712402, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, 3.6998343467712402, 3.6998343467712402, 3.6998343467712402, 3.6998343467712402, 3.6998343467712402, 3.6998343467712402]"
21,0.5,1,"[-17.255390167236328, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, 3.7383830547332764, 3.7383830547332764, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239]"
22,0.5,2,"[-370.7516174316406, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239]"
23,0.5,3,"[-0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239]"
24,0.6,0,"[-376.6319274902344, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, -0.07384046167135239, 1.444732666015625, 1.444732666015625, -0.07384046167135239]"
